City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,san sebastian de la gomera,28.0916,-17.1133,294.16,68,4,6.05,ES,1714072976
325,ekenas,59.9736,23.4339,275.77,98,100,2.21,FI,1714072977
326,ndele,8.4109,20.6473,305.07,28,100,1.46,CF,1714072977
327,altai,46.3722,96.2583,270.57,62,100,2.03,MN,1714072977
328,beau vallon,-20.4189,57.6953,298.65,81,5,4.98,MU,1714072977
329,tamanrasset,22.785,5.5228,299.49,9,0,3.37,DZ,1714072978
330,saipan,15.1355,145.701,300.55,76,74,8.18,MP,1714072978
331,chunskiy,56.0815,99.6342,273.22,95,100,2.33,RU,1714072978
332,viedma,-40.8135,-62.9967,293.23,24,50,8.51,AR,1714072978
333,ulety,51.3572,112.4849,270.63,77,35,2.94,RU,1714072979
334,kota belud,6.351,116.4305,298.98,81,39,1.78,MY,1714072979
335,swift current,50.2834,-107.8014,289.96,34,49,3.65,CA,1714072979
336,bamboo flat,11.7,92.7167,301.4,74,100,1.73,IN,1714072979
337,turpan,42.9333,89.1667,295.02,27,18,2.56,CN,1714072980
338,waingapu,-9.6567,120.2641,298.45,81,21,2.55,ID,1714072980
339,dapa,9.7594,126.0531,300.2,84,16,2.76,PH,1714072980
340,urangan,-25.3,152.9,293.05,82,95,5.87,AU,1714072981
341,novaya igirma,57.1334,103.9112,271.73,94,100,1.5,RU,1714072981
342,freetown,8.484,-13.2299,300.0,73,52,4.05,SL,1714072982
343,saint-leu,-21.15,55.2833,298.79,81,10,0.81,RE,1714072982
344,gizo,-8.103,156.8419,301.29,78,100,1.87,SB,1714072983
345,awjilah,29.1081,21.2869,293.19,49,99,9.06,LY,1714072983
346,ismayilli,40.779,48.1638,287.21,60,13,1.26,AZ,1714072983
347,kargat,55.1956,80.2811,274.32,75,7,2.88,RU,1714072983
348,prattville,32.464,-86.4597,300.2,48,0,1.51,US,1714072779
349,jayapura,-2.5333,140.7,295.88,93,100,1.54,ID,1714072984
350,santa cruz,-17.8,-63.1667,305.8,47,54,6.78,BO,1714072770
351,takoradi,4.8845,-1.7554,301.78,82,100,5.31,GH,1714072984
352,tallahassee,30.4383,-84.2807,302.76,36,86,1.59,US,1714072976
353,belinskiy,52.9647,43.4165,290.39,50,100,8.51,RU,1714072985
354,severo-yeniseyskiy,60.3725,93.0408,267.27,98,100,1.11,RU,1714072985
355,bayanhongor,46.7167,100.1167,271.33,41,93,0.54,MN,1714072985
356,aasiaat,68.7098,-52.8699,273.09,84,100,2.44,GL,1714072985
357,buala,-8.145,159.5921,300.74,80,17,1.28,SB,1714072986
358,molochnoye,59.2917,39.6787,283.51,90,100,4.6,RU,1714072986
359,port blair,11.6667,92.75,302.0,73,100,1.98,IN,1714072986
360,hilo,19.7297,-155.09,295.4,81,99,4.28,US,1714072920
